Depth [L],Flow [L^3 T^-1],Upper depth bound [L],Lower depth bound [L]
64,0.1,64,64
64.2,0.1,64.2,64.2
64.4,0.1,64.4,64.4
64.6,0.1,64.6,64.6
64.8,0.1,64.8,64.8
65,0.1,65,65
65.2,0.1,65.2,65.2
65.4,0.1,65.4,65.4
65.6,0.1,65.6,65.6
65.8,0.1,65.8,65.8
66,0.1,66,66
66.2,0.1,66.2,66.2
66.4,0.1,66.4,66.4
66.6,0.1,66.6,66.6
66.8,0.1,66.8,66.8
67,0.1,67,67
67.2,0.1,67.2,67.2
67.4,0.1,67.4,67.4
67.6,0.1,67.6,67.6
67.8,0.1,67.8,67.8
68,0.1,68,68
68.2,0.1,68.2,68.2
68.4,0.1,68.4,68.4
68.6,0.1,68.6,68.6
68.8,0.1,68.8,68.8
69,0.1,69,69
69.2,0.1,69.2,69.2
69.4,0.1,69.4,69.4
69.6,0.1,69.6,69.6
69.8,0.1,69.8,69.8
70,0.1,70,70
70.2,0.1,70.2,70.2
70.4,0.1,70.4,70.4
70.6,0.1,70.6,70.6
70.8,0.1,70.8,70.8
71,0.1,71,71
71.2,0.1,71.2,71.2
71.4,0.1,71.4,71.4
71.6,0.1,71.6,71.6
71.8,0.1,71.8,71.8
72,0.1,72,72
72.2,0.1,72.2,72.2
72.4,0.1,72.4,72.4
72.6,0.1,72.6,72.6
72.8,0.1,72.8,72.8
73,0.1,73,73
73.2,0.1,73.2,73.2
73.4,0.1,73.4,73.4
73.6,0.1,73.6,73.6
73.8,0.1,73.8,73.8
74,0.1,74,74
74.2,0.1,74.2,74.2
74.4,0.1,74.4,74.4
74.6,0.1,74.6,74.6
74.8,0.1,74.8,74.8
75,4,75,75
75.2,0.1,75.2,75.2
75.4,0.1,75.4,75.4
75.6,0.1,75.6,75.6
75.8,0.1,75.8,75.8
76,0.1,76,76
76.2,0.1,76.2,76.2
76.4,0.1,76.4,76.4
76.6,0.1,76.6,76.6
76.8,0.1,76.8,76.8
77,0.1,77,77
77.2,0.1,77.2,77.2
77.4,0.1,77.4,77.4
77.6,0.1,77.6,77.6
77.8,0.1,77.8,77.8
78,0.1,78,78
78.2,0.1,78.2,78.2
78.4,0.1,78.4,78.4
78.6,0.1,78.6,78.6
78.8,0.1,78.8,78.8
79,0.1,79,79
79.2,0.1,79.2,79.2
79.4,0.1,79.4,79.4
79.6,0.1,79.6,79.6
79.8,0.1,79.8,79.8
80,0.1,80,80
80.2,0.1,80.2,80.2
80.4,0.1,80.4,80.4
80.6,0.1,80.6,80.6
80.8,0.1,80.8,80.8
81,0.1,81,81
81.2,0.1,81.2,81.2
81.4,0.1,81.4,81.4
81.6,0.1,81.6,81.6
81.8,0.1,81.8,81.8
82,0.1,82,82
82.2,0.1,82.2,82.2
82.4,0.1,82.4,82.4
82.6,0.1,82.6,82.6
82.8,0.1,82.8,82.8
83,0.1,83,83
83.2,0.1,83.2,83.2
83.4,0.1,83.4,83.4
83.6,0.1,83.6,83.6
83.8,0.1,83.8,83.8
84,0.1,84,84
84.2,0.1,84.2,84.2
84.4,0.1,84.4,84.4
84.6,0.1,84.6,84.6
84.8,0.1,84.8,84.8
85,0.1,85,85
85.2,0.1,85.2,85.2
85.4,0.1,85.4,85.4
85.6,0.1,85.6,85.6
85.8,0.1,85.8,85.8
86,0.1,86,86
86.2,0.1,86.2,86.2
86.4,0.1,86.4,86.4
86.6,0.1,86.6,86.6
86.8,0.1,86.8,86.8
87,0.1,87,87
87.2,0.1,87.2,87.2
87.4,0.1,87.4,87.4
87.6,0.1,87.6,87.6
87.8,0.1,87.8,87.8
88,0.1,88,88
88.2,0.1,88.2,88.2
88.4,0.1,88.4,88.4
88.6,0.1,88.6,88.6
88.8,0.1,88.8,88.8
89,0.1,89,89
89.2,0.1,89.2,89.2
89.4,0.1,89.4,89.4
89.6,0.1,89.6,89.6
89.8,0.1,89.8,89.8
90,0.1,90,90
90.2,0.1,90.2,90.2
90.4,0.1,90.4,90.4
90.6,0.1,90.6,90.6
90.8,0.1,90.8,90.8
91,0.1,91,91
91.2,0.1,91.2,91.2
91.4,0.1,91.4,91.4
91.6,0.1,91.6,91.6
91.8,0.1,91.8,91.8
92,0.1,92,92
92.2,0.1,92.2,92.2
92.4,0.1,92.4,92.4
92.6,0.1,92.6,92.6
92.8,0.1,92.8,92.8
93,0.1,93,93
93.2,0.1,93.2,93.2
93.4,0.1,93.4,93.4
93.6,0.1,93.6,93.6
93.8,0.1,93.8,93.8
94,0.1,94,94
40,-0.1,40,40
40.2,-0.1,40.2,40.2
40.4,-0.1,40.4,40.4
40.6,-0.1,40.6,40.6
40.8,-0.1,40.8,40.8
41,-0.1,41,41
41.2,-0.1,41.2,41.2
41.4,-0.1,41.4,41.4
41.6,-0.1,41.6,41.6
41.8,-0.1,41.8,41.8
42,-0.1,42,42
42.2,-0.1,42.2,42.2
42.4,-0.1,42.4,42.4
42.6,-0.1,42.6,42.6
42.8,-0.1,42.8,42.8
43,-0.1,43,43
43.2,-0.1,43.2,43.2
43.4,-0.1,43.4,43.4
43.6,-0.1,43.6,43.6
43.8,-0.1,43.8,43.8
44,-0.1,44,44
44.2,-0.1,44.2,44.2
44.4,-0.1,44.4,44.4
44.6,-0.1,44.6,44.6
44.8,-0.1,44.8,44.8
45,-0.1,45,45
45.2,-0.1,45.2,45.2
45.4,-0.1,45.4,45.4
45.6,-0.1,45.6,45.6
45.8,-0.1,45.8,45.8
46,-0.1,46,46
46.2,-0.1,46.2,46.2
46.4,-0.1,46.4,46.4
46.6,-0.1,46.6,46.6
46.8,-0.1,46.8,46.8
47,-0.1,47,47
47.2,-0.1,47.2,47.2
47.4,-0.1,47.4,47.4
47.6,-0.1,47.6,47.6
47.8,-0.1,47.8,47.8
48,-0.1,48,48
48.2,-0.1,48.2,48.2
48.4,-0.1,48.4,48.4
48.6,-0.1,48.6,48.6
48.8,-0.1,48.8,48.8
49,-0.1,49,49
49.2,-0.1,49.2,49.2
49.4,-0.1,49.4,49.4
49.6,-0.1,49.6,49.6
49.8,-0.1,49.8,49.8
50,-0.1,50,50
50.2,-0.1,50.2,50.2
50.4,-0.1,50.4,50.4
50.6,-0.1,50.6,50.6
50.8,-0.1,50.8,50.8
51,-0.1,51,51
51.2,-0.1,51.2,51.2
51.4,-0.1,51.4,51.4
51.6,-0.1,51.6,51.6
51.8,-0.1,51.8,51.8
52,-0.1,52,52
52.2,-0.1,52.2,52.2
52.4,-0.1,52.4,52.4
52.6,-0.1,52.6,52.6
52.8,-0.1,52.8,52.8
53,-0.1,53,53
53.2,-0.1,53.2,53.2
53.4,-0.1,53.4,53.4
53.6,-0.1,53.6,53.6
53.8,-0.1,53.8,53.8
54,-0.1,54,54
54.2,-0.1,54.2,54.2
54.4,-0.1,54.4,54.4
54.6,-0.1,54.6,54.6
54.8,-0.1,54.8,54.8
55,-0.1,55,55
55.2,-0.1,55.2,55.2
55.4,-0.1,55.4,55.4
55.6,-0.1,55.6,55.6
55.8,-0.1,55.8,55.8
56,-0.1,56,56
56.2,-0.1,56.2,56.2
56.4,-0.1,56.4,56.4
56.6,-0.1,56.6,56.6
56.8,-0.1,56.8,56.8
57,-0.1,57,57
57.2,-0.1,57.2,57.2
57.4,-0.1,57.4,57.4
57.6,-0.1,57.6,57.6
57.8,-0.1,57.8,57.8
58,-0.1,58,58
58.2,-0.1,58.2,58.2
58.4,-0.1,58.4,58.4
58.6,-0.1,58.6,58.6
58.8,-0.1,58.8,58.8
59,-0.1,59,59
59.2,-0.1,59.2,59.2
59.4,-0.1,59.4,59.4
59.6,-0.1,59.6,59.6
59.8,-0.1,59.8,59.8
60,-0.1,60,60
60.2,-0.1,60.2,60.2
60.4,-0.1,60.4,60.4
60.6,-0.1,60.6,60.6
60.8,-0.1,60.8,60.8
61,-0.1,61,61
61.2,-0.1,61.2,61.2
61.4,-0.1,61.4,61.4
61.6,-0.1,61.6,61.6
61.8,-0.1,61.8,61.8
62,-0.1,62,62
62.2,-0.1,62.2,62.2
62.4,-0.1,62.4,62.4
62.6,-0.1,62.6,62.6
62.8,-0.1,62.8,62.8
63,-0.1,63,63
63.2,-0.1,63.2,63.2
63.4,-0.1,63.4,63.4
63.6,-0.1,63.6,63.6
63.8,-0.1,63.8,63.8
64,-0.1,64,64
64.2,-0.1,64.2,64.2
64.4,-0.1,64.4,64.4
64.6,-0.1,64.6,64.6
64.8,-0.1,64.8,64.8
65,-0.1,65,65
65.2,-0.1,65.2,65.2
65.4,-0.1,65.4,65.4
65.6,-0.1,65.6,65.6
65.8,-0.1,65.8,65.8
66,-0.1,66,66
66.2,-0.1,66.2,66.2
66.4,-0.1,66.4,66.4
66.6,-0.1,66.6,66.6
66.8,-0.1,66.8,66.8
67,-0.1,67,67
67.2,-0.1,67.2,67.2
67.4,-0.1,67.4,67.4
67.6,-0.1,67.6,67.6
67.8,-0.1,67.8,67.8
68,-0.1,68,68
68.2,-0.1,68.2,68.2
68.4,-0.1,68.4,68.4
68.6,-0.1,68.6,68.6
68.8,-0.1,68.8,68.8
69,-0.1,69,69
69.2,-0.1,69.2,69.2
69.4,-0.1,69.4,69.4
69.6,-0.1,69.6,69.6
69.8,-0.1,69.8,69.8
70,-0.1,70,70
70.2,-0.1,70.2,70.2
70.4,-0.1,70.4,70.4
70.6,-0.1,70.6,70.6
70.8,-0.1,70.8,70.8
71,-0.1,71,71
71.2,-0.1,71.2,71.2
71.4,-0.1,71.4,71.4
71.6,-0.1,71.6,71.6
71.8,-0.1,71.8,71.8
72,-0.1,72,72
72.2,-0.1,72.2,72.2
72.4,-0.1,72.4,72.4
72.6,-0.1,72.6,72.6
72.8,-0.1,72.8,72.8
73,-0.1,73,73
73.2,-0.1,73.2,73.2
73.4,-0.1,73.4,73.4
73.6,-0.1,73.6,73.6
73.8,-0.1,73.8,73.8
74,-0.1,74,74
74.2,-0.1,74.2,74.2
74.4,-0.1,74.4,74.4
74.6,-0.1,74.6,74.6
74.8,-0.1,74.8,74.8
75,-0.1,75,75
75.2,-0.1,75.2,75.2
75.4,-0.1,75.4,75.4
75.6,-0.1,75.6,75.6
75.8,-0.1,75.8,75.8
76,-0.1,76,76
76.2,-0.1,76.2,76.2
76.4,-0.1,76.4,76.4
76.6,-0.1,76.6,76.6
76.8,-0.1,76.8,76.8
77,-0.1,77,77
77.2,-0.1,77.2,77.2
77.4,-0.1,77.4,77.4
77.6,-0.1,77.6,77.6
77.8,-0.1,77.8,77.8
78,-0.1,78,78
78.2,-0.1,78.2,78.2
78.4,-0.1,78.4,78.4
78.6,-0.1,78.6,78.6
78.8,-0.1,78.8,78.8
79,-0.1,79,79
79.2,-0.1,79.2,79.2
79.4,-0.1,79.4,79.4
79.6,-0.1,79.6,79.6
79.8,-0.1,79.8,79.8
80,-0.1,80,80
80.2,-0.1,80.2,80.2
80.4,-0.1,80.4,80.4
80.6,-0.1,80.6,80.6
80.8,-0.1,80.8,80.8
81,-0.1,81,81
81.2,-0.1,81.2,81.2
81.4,-0.1,81.4,81.4
81.6,-0.1,81.6,81.6
81.8,-0.1,81.8,81.8
82,-0.1,82,82
82.2,-0.1,82.2,82.2
82.4,-0.1,82.4,82.4
82.6,-0.1,82.6,82.6
82.8,-0.1,82.8,82.8
83,-0.1,83,83
83.2,-0.1,83.2,83.2
83.4,-0.1,83.4,83.4
83.6,-0.1,83.6,83.6
83.8,-0.1,83.8,83.8
84,-0.1,84,84
84.2,-0.1,84.2,84.2
84.4,-0.1,84.4,84.4
84.6,-0.1,84.6,84.6
84.8,-0.1,84.8,84.8
85,-0.1,85,85
85.2,-0.1,85.2,85.2
85.4,-0.1,85.4,85.4
85.6,-0.1,85.6,85.6
85.8,-0.1,85.8,85.8
86,-0.1,86,86
86.2,-0.1,86.2,86.2
86.4,-0.1,86.4,86.4
86.6,-0.1,86.6,86.6
86.8,-0.1,86.8,86.8
87,-0.1,87,87
87.2,-0.1,87.2,87.2
87.4,-0.1,87.4,87.4
87.6,-0.1,87.6,87.6
87.8,-0.1,87.8,87.8
88,-0.1,88,88
88.2,-0.1,88.2,88.2
88.4,-0.1,88.4,88.4
88.6,-0.1,88.6,88.6
88.8,-0.1,88.8,88.8
89,-0.1,89,89
89.2,-0.1,89.2,89.2
89.4,-0.1,89.4,89.4
89.6,-0.1,89.6,89.6
89.8,-0.1,89.8,89.8
90,-0.1,90,90
90.2,-0.1,90.2,90.2
90.4,-0.1,90.4,90.4
90.6,-0.1,90.6,90.6
90.8,-0.1,90.8,90.8
91,-0.1,91,91
91.2,-0.1,91.2,91.2
91.4,-0.1,91.4,91.4
91.6,-0.1,91.6,91.6
91.8,-0.1,91.8,91.8
92,-0.1,92,92
92.2,-0.1,92.2,92.2
92.4,-0.1,92.4,92.4
92.6,-0.1,92.6,92.6
92.8,-0.1,92.8,92.8
93,-0.1,93,93
93.2,-0.1,93.2,93.2
93.4,-0.1,93.4,93.4
93.6,-0.1,93.6,93.6
93.8,-0.1,93.8,93.8
94,-0.1,94,94
