Depth [L],In_Flow [L^3 T^-1],Out_Flow [L^3 T^-1],Upper depth bound [L],Lower depth bound [L]
61.8,0,0,61.8,61.8
62,0,0,62,62
62.2,0,0,62.2,62.2
62.4,0,0,62.4,62.4
62.6,0,0,62.6,62.6
62.8,0,0,62.8,62.8
63,0,0,63,63
63.2,0,0,63.2,63.2
63.4,0,0,63.4,63.4
63.6,0,0,63.6,63.6
63.8,0,0,63.8,63.8
64,0,0,64,64
64.2,0,0,64.2,64.2
64.4,0,0,64.4,64.4
64.6,0,0,64.6,64.6
64.8,0,0,64.8,64.8
65,0,0,65,65
65.2,0,0,65.2,65.2
65.4,0,0,65.4,65.4
65.6,0,0,65.6,65.6
65.8,0,0,65.8,65.8
66,0,0,66,66
66.2,0,0,66.2,66.2
66.4,0,0,66.4,66.4
66.6,0,0,66.6,66.6
66.8,0,0,66.8,66.8
67,0,0,67,67
67.2,0,0,67.2,67.2
67.4,0,0,67.4,67.4
67.6,0,0,67.6,67.6
67.8,0,0,67.8,67.8
68,0,0,68,68
68.2,0,0,68.2,68.2
68.4,0,0,68.4,68.4
68.6,0,0,68.6,68.6
68.8,0,0,68.8,68.8
69,0,0,69,69
69.2,0,0,69.2,69.2
69.4,0,0,69.4,69.4
69.6,0,0,69.6,69.6
69.8,0,0,69.8,69.8
70,0,0,70,70
70.2,0,0,70.2,70.2
70.4,0,0,70.4,70.4
70.6,0,0,70.6,70.6
70.8,0,0,70.8,70.8
71,0,0,71,71
71.2,0,0,71.2,71.2
71.4,0,0,71.4,71.4
71.6,0,0,71.6,71.6
71.8,0,0,71.8,71.8
72,0,0,72,72
72.2,0,0,72.2,72.2
72.4,0,0,72.4,72.4
72.6,0,0,72.6,72.6
72.8,0,0,72.8,72.8
73,0,0,73,73
73.2,0,0,73.2,73.2
73.4,0,0,73.4,73.4
73.6,0,0,73.6,73.6
73.8,0,0,73.8,73.8
74,0,0,74,74
74.2,0,0,74.2,74.2
74.4,0,0,74.4,74.4
74.6,0,0,74.6,74.6
74.8,0,0,74.8,74.8
75,0.5,0,75,75
75.2,0,0,75.2,75.2
75.4,0,0,75.4,75.4
75.6,0,0,75.6,75.6
75.8,0,0,75.8,75.8
76,0,0,76,76
76.2,0,0,76.2,76.2
76.4,0,0,76.4,76.4
76.6,0,0,76.6,76.6
76.8,0,0,76.8,76.8
77,0,0,77,77
77.2,0,0,77.2,77.2
77.4,0,0,77.4,77.4
77.6,0,0,77.6,77.6
77.8,0,0,77.8,77.8
78,0,0,78,78
78.2,0,0,78.2,78.2
78.4,0,0,78.4,78.4
78.6,0,0,78.6,78.6
78.8,0,0,78.8,78.8
79,0,0,79,79
79.2,0,0,79.2,79.2
79.4,0,0,79.4,79.4
79.6,0,0,79.6,79.6
79.8,0,0,79.8,79.8
80,0,0,80,80
80.2,0,0,80.2,80.2
80.4,0,0,80.4,80.4
80.6,0,0,80.6,80.6
80.8,0,0,80.8,80.8
81,0,0,81,81
81.2,0,0,81.2,81.2
81.4,0,0,81.4,81.4
81.6,0,0,81.6,81.6
81.8,0,0,81.8,81.8
82,0,0,82,82
82.2,0,0,82.2,82.2
82.4,0,0,82.4,82.4
82.6,0,0,82.6,82.6
82.8,0,0,82.8,82.8
83,0,0,83,83
83.2,0,0,83.2,83.2
83.4,0,0,83.4,83.4
83.6,0,0,83.6,83.6
83.8,0,0,83.8,83.8
84,0,0,84,84
84.2,0,0,84.2,84.2
84.4,0,0,84.4,84.4
84.6,0,0,84.6,84.6
84.8,0,0,84.8,84.8
85,0,0,85,85
85.2,0,0,85.2,85.2
85.4,0,0,85.4,85.4
85.6,0,0,85.6,85.6
85.8,0,0,85.8,85.8
86,0,0,86,86
86.2,0,0,86.2,86.2
86.4,0,0,86.4,86.4
86.6,0,0,86.6,86.6
86.8,0,0,86.8,86.8
87,0,0,87,87
87.2,0,0,87.2,87.2
87.4,0,0,87.4,87.4
87.6,0,0,87.6,87.6
87.8,0,0,87.8,87.8
88,0,0,88,88
88.2,0,0,88.2,88.2
88.4,0,0,88.4,88.4
88.6,0,0,88.6,88.6
88.8,0,0,88.8,88.8
89,0,0,89,89
89.2,0,0,89.2,89.2
89.4,0,0,89.4,89.4
89.6,0,0,89.6,89.6
89.8,0,0,89.8,89.8
90,0,-1.4,90,90
90.2,0,0,90.2,90.2
90.4,0,0,90.4,90.4
90.6,0,0,90.6,90.6
90.8,0,0,90.8,90.8
91,0,0,91,91
91.2,0,0,91.2,91.2
91.4,0,0,91.4,91.4
91.6,0,0,91.6,91.6
91.8,0,0,91.8,91.8
92,0,0,92,92
92.2,0,0,92.2,92.2
92.4,0,0,92.4,92.4
92.6,0,0,92.6,92.6
92.8,0,0,92.8,92.8
93,0,0,93,93
93.2,0,0,93.2,93.2
93.4,0,0,93.4,93.4
93.6,0,0,93.6,93.6
93.8,0,0,93.8,93.8
94,0,-4.1,94,94
